nome,data_inizio,data_fine,categoria,luogo,lat,lon,organizzatore
Festival per la Pace,2024-03-13,,Festival,Auditorium Comunale,45.464,9.1895,Diocesi
Concerto dei Giovani,2024-02-06,2024-02-09,Festival,Centro Sportivo,45.4685,9.183,Banda Musicale
Esibizione Internazionale,2024-02-11,2024-02-14,Festival,Villa Comunale,45.466,9.194,Associazione Culturale Insieme
Concerto per la Pace,2024-10-04,,Cinema,Palazzo Comunale,45.4642,9.19,Comune (Assessorato Sport)
Concerto Internazionale,2025-02-16,2025-02-17,Mostra,Parco Civico,45.467,9.192,Associazione Culturale Insieme
Mostra Natalizio,2024-01-22,2024-01-25,Conferenza,Auditorium Comunale,45.464,9.1895,Coro Civico
Mostra di Beneficenza,2025-10-26,2025-10-27,Sport,Parco Civico,45.467,9.192,Gruppo Teatrale Locale
Festival Internazionale,2024-05-06,,Mostra,Auditorium Comunale,45.464,9.1895,CONI Locale
Rassegna della Tradizione,2024-10-07,2024-10-08,Teatro,Teatro Sociale,45.4632,9.1905,Coro Civico
Concerto Natalizio,2024-07-25,,Religioso,Palazzo Comunale,45.4642,9.19,Associazione Culturale Insieme
Spettacolo di Primavera,2024-11-03,,Teatro,Auditorium Comunale,45.464,9.1895,Banda Musicale
Mostra Autunnale,2024-01-09,2024-01-10,Festival,Palazzo Comunale,45.4642,9.19,CONI Locale
Rassegna Internazionale,2025-02-10,2025-02-11,Festival,Centro Sportivo,45.4685,9.183,Banda Musicale
Mostra per la Pace,2025-02-11,,Sport,Piazza San Marco,45.4625,9.188,Associazione Culturale Insieme
Concerto di Beneficenza,2025-11-12,2025-11-13,Teatro,Biblioteca Civica,45.465,9.1875,Associazione Culturale Insieme
Mostra per la Pace,2024-04-02,2024-04-04,Mostra,Chiesa San Francesco,45.4615,9.1955,Gruppo Teatrale Locale
Concerto per la Pace,2024-07-23,,Religioso,Biblioteca Civica,45.465,9.1875,Associazione Culturale Insieme
Spettacolo dei Giovani,2024-09-04,,Cinema,Museo Civico,45.4628,9.1888,Associazione Culturale Insieme
Concerto d'Estate,2025-11-22,2025-11-24,Conferenza,Centro Sportivo,45.4685,9.183,CONI Locale
Festival Natalizio,2024-03-23,,Musica,Teatro Sociale,45.4632,9.1905,Comune (Assessorato Sport)
Concerto per la Pace,2024-10-05,,Mostra,Chiesa San Francesco,45.4615,9.1955,Comune (Assessorato Cultura)
Concerto d'Estate,2024-07-18,2024-07-19,Musica,Biblioteca Civica,45.465,9.1875,Banda Musicale
Spettacolo della Tradizione,2024-11-20,2024-11-22,Teatro,Teatro Sociale,45.4632,9.1905,CONI Locale
Rassegna Internazionale,2024-01-02,2024-01-05,Mostra,Palazzo Comunale,45.4642,9.19,Diocesi
Concerto Autunnale,2024-03-18,,Sport,Centro Sportivo,45.4685,9.183,Comune (Assessorato Sport)
Festival Internazionale,2024-10-09,,Festival,Biblioteca Civica,45.465,9.1875,Banda Musicale
Spettacolo Autunnale,2025-03-10,2025-03-11,Religioso,Museo Civico,45.4628,9.1888,Comune (Assessorato Sport)
Mostra dei Giovani,2025-08-13,2025-08-14,Religioso,Palazzo Comunale,45.4642,9.19,Comune (Assessorato Sport)
Rassegna Natalizio,2024-04-16,2024-04-18,Sport,Teatro Sociale,45.4632,9.1905,Comune (Assessorato Cultura)
Mostra Natalizio,2025-07-10,,Festival,Chiesa San Francesco,45.4615,9.1955,Banda Musicale
Concerto di Primavera,2024-09-10,,Sport,Parco Civico,45.467,9.192,Coro Civico
Esibizione Internazionale,2025-08-01,2025-08-02,Musica,Biblioteca Civica,45.465,9.1875,Associazione Culturale Insieme
Esibizione Natalizio,2024-11-01,,Sport,Auditorium Comunale,45.464,9.1895,Gruppo Teatrale Locale
Concerto d'Estate,2024-07-04,,Religioso,Biblioteca Civica,45.465,9.1875,Comune (Assessorato Cultura)
Spettacolo per la Pace,2024-06-03,2024-06-06,Musica,Auditorium Comunale,45.464,9.1895,Comune (Assessorato Cultura)
Rassegna per la Pace,2024-11-16,,Cinema,Museo Civico,45.4628,9.1888,Diocesi
Esibizione per la Pace,2025-01-02,,Conferenza,Auditorium Comunale,45.464,9.1895,CONI Locale
Esibizione d'Estate,2024-10-25,,Conferenza,Chiesa San Francesco,45.4615,9.1955,Comune (Assessorato Cultura)
Festival di Beneficenza,2024-02-18,2024-02-19,Teatro,Chiesa San Francesco,45.4615,9.1955,Associazione Culturale Insieme
Spettacolo d'Estate,2024-05-09,,Cinema,Palazzo Comunale,45.4642,9.19,CONI Locale
Festival per la Pace,2024-06-07,2024-06-08,Musica,Museo Civico,45.4628,9.1888,Banda Musicale
Spettacolo di Primavera,2025-04-07,,Cinema,Centro Sportivo,45.4685,9.183,Coro Civico
Festival Internazionale,2024-07-11,2024-07-12,Festival,Villa Comunale,45.466,9.194,Coro Civico
Spettacolo di Primavera,2025-08-23,2025-08-24,Teatro,Biblioteca Civica,45.465,9.1875,Comune (Assessorato Sport)
Spettacolo della Tradizione,2024-08-01,2024-08-02,Teatro,Parco Civico,45.467,9.192,Gruppo Teatrale Locale
Mostra Natalizio,2024-06-06,,Musica,Auditorium Comunale,45.464,9.1895,CONI Locale
Concerto d'Arte Moderna,2025-09-25,2025-09-26,Mostra,Villa Comunale,45.466,9.194,Diocesi
Esibizione per la Pace,2024-08-10,2024-08-11,Cinema,Piazza San Marco,45.4625,9.188,Banda Musicale
Mostra per la Pace,2025-06-17,,Cinema,Biblioteca Civica,45.465,9.1875,Pro Loco
Concerto d'Estate,2024-09-01,2024-09-04,Conferenza,Chiesa San Francesco,45.4615,9.1955,Gruppo Teatrale Locale
Mostra Autunnale,2024-03-09,2024-03-10,Conferenza,Auditorium Comunale,45.464,9.1895,Comune (Assessorato Sport)
Rassegna d'Estate,2024-06-13,2024-06-15,Festival,Auditorium Comunale,45.464,9.1895,Associazione Culturale Insieme
Concerto di Beneficenza,2024-04-10,,Musica,Piazza San Marco,45.4625,9.188,Coro Civico
Festival d'Arte Moderna,2024-07-17,,Festival,Auditorium Comunale,45.464,9.1895,Banda Musicale
Spettacolo d'Estate,2025-07-15,2025-07-18,Mostra,Parco Civico,45.467,9.192,Coro Civico
Esibizione Internazionale,2025-01-05,,Religioso,Biblioteca Civica,45.465,9.1875,CONI Locale
Festival di Primavera,2024-10-28,2024-11-01,Festival,Auditorium Comunale,45.464,9.1895,CONI Locale
Festival d'Estate,2024-03-20,2024-03-21,Teatro,Biblioteca Civica,45.465,9.1875,Pro Loco
Rassegna di Primavera,2024-10-03,,Teatro,Auditorium Comunale,45.464,9.1895,Associazione Culturale Insieme
Spettacolo Autunnale,2024-11-01,2024-11-02,Cinema,Auditorium Comunale,45.464,9.1895,Diocesi
Rassegna dei Giovani,2024-12-18,,Conferenza,Auditorium Comunale,45.464,9.1895,Comune (Assessorato Cultura)
Spettacolo d'Estate,2025-06-15,2025-06-18,Mostra,Teatro Sociale,45.4632,9.1905,Coro Civico
Spettacolo d'Estate,2025-01-02,2025-01-03,Mostra,Biblioteca Civica,45.465,9.1875,Coro Civico
Festival Internazionale,2025-12-27,2025-12-28,Festival,Auditorium Comunale,45.464,9.1895,Gruppo Teatrale Locale
Spettacolo Internazionale,2024-06-05,,Festival,Auditorium Comunale,45.464,9.1895,Diocesi
Concerto per la Pace,2024-11-27,2024-11-28,Festival,Villa Comunale,45.466,9.194,Banda Musicale
Festival di Primavera,2025-03-24,,Religioso,Parco Civico,45.467,9.192,Comune (Assessorato Cultura)
