data,lat,lon,decessi,feriti,localita,ora,numero_incidenti,mese
2020-05-23,45.4705,9.20654,0,0,Tangenziale Nord,14:45,1,05
2020-10-01,45.46454,9.19276,0,0,Via dei Mille,13:45,1,10
2020-03-02,45.47262,9.20153,0,1,Strada Provinciale 5,04:45,1,03
2020-10-17,45.45873,9.17855,0,1,Via Roma,05:30,1,10
2020-05-03,45.46473,9.17571,0,3,Via XX Settembre,01:00,1,05
2020-10-15,45.47109,9.20436,0,2,Via Garibaldi,04:00,1,10
2020-06-02,45.47323,9.18165,0,0,Tangenziale Nord,17:00,1,06
2020-05-16,45.47378,9.19823,0,1,Via Manzoni,19:00,1,05
2020-06-05,45.46768,9.20345,0,1,Piazza San Marco,17:45,1,06
2020-08-19,45.45311,9.17209,0,0,Tangenziale Nord,04:00,1,08
2020-06-04,45.46941,9.18993,0,0,Incrocio Via Mazzini/Via Verdi,12:00,1,06
2020-12-02,45.45443,9.17942,0,2,Viale dei Tigli,12:30,1,12
2020-10-19,45.46201,9.20082,0,1,Via dei Mille,06:00,1,10
2020-11-08,45.47521,9.17999,0,1,Via Manzoni,07:00,1,11
2020-08-17,45.45367,9.17298,0,0,Centro storico,16:00,1,08
2020-10-12,45.45852,9.17668,0,1,Piazza San Marco,07:00,1,10
2020-10-20,45.46217,9.18556,0,1,Incrocio Via Mazzini/Via Verdi,08:15,1,10
2020-09-19,45.45583,9.18073,0,1,Viale Europa,20:00,1,09
2020-08-23,45.46035,9.18352,0,4,Via Garibaldi,09:45,1,08
2020-05-24,45.46374,9.18799,0,0,Centro storico,15:45,1,05
2020-12-14,45.46463,9.1927,0,0,Via XX Settembre,23:15,1,12
2020-10-24,45.4528,9.17589,0,0,Via dei Mille,20:15,1,10
2020-04-07,45.46686,9.19828,0,1,Strada Provinciale 5,13:30,1,04
2020-02-11,45.4632,9.19698,0,1,Incrocio Via Mazzini/Via Verdi,11:00,1,02
2020-07-23,45.47597,9.18375,0,2,Via Garibaldi,11:30,1,07
2020-07-08,45.47208,9.18257,0,0,Viale Europa,04:15,1,07
2020-04-05,45.45649,9.20578,0,0,Rotatoria Stazione,08:45,1,04
2020-07-17,45.45667,9.18117,0,0,Centro storico,11:15,1,07
2020-02-27,45.46266,9.19004,1,1,Centro storico,12:00,1,02
2020-07-19,45.46274,9.18853,0,0,Tangenziale Nord,00:45,1,07
2020-08-27,45.45403,9.17588,0,1,Via XX Settembre,17:45,1,08
2020-08-05,45.47501,9.18491,0,1,Centro storico,10:15,1,08
2020-01-21,45.46075,9.18371,0,1,Piazza San Marco,02:15,1,01
2020-02-07,45.46694,9.18081,0,1,Viale Europa,00:00,1,02
2020-10-28,45.46424,9.20268,0,0,Viale Europa,08:45,1,10
2020-10-06,45.47119,9.19451,0,0,Via Manzoni,20:45,1,10
2020-11-11,45.46323,9.19326,0,2,Strada Provinciale 5,00:15,1,11
2020-08-02,45.47388,9.17843,0,1,Tangenziale Nord,03:00,1,08
2020-11-27,45.45823,9.19689,0,1,Via dei Mille,00:15,1,11
2020-06-12,45.45466,9.1751,0,1,Tangenziale Nord,13:00,1,06
2020-11-03,45.45706,9.19565,0,0,Via dei Mille,16:00,1,11
2020-06-23,45.47345,9.18355,0,1,Piazza San Marco,23:00,1,06
2020-01-20,45.45245,9.17272,0,0,Centro storico,09:00,1,01
2020-06-15,45.45957,9.1765,0,1,Incrocio Via Mazzini/Via Verdi,02:30,1,06
2020-01-26,45.46996,9.19152,0,1,Tangenziale Nord,15:30,1,01
2020-09-06,45.4737,9.18801,0,2,Piazza San Marco,08:30,1,09
