denominazione,tipo,indirizzo,lat,lon,valore,tipo_bene,descrizione,autore,datazione
Scuola Primaria E. De Amicis,Scuola,Piazza Marconi 3,45.47585,9.186,4500000,non vincolato,Scolastico,autore non documentato,sec. XX
Scuola Primaria G. Carducci,Scuola,Via Carducci 14,45.46686,9.20439,3800000,non vincolato,Scolastico,autore non documentato,sec. XX
Scuola Primaria A. Manzoni,Scuola,Viale Europa 10,45.45606,9.19063,3200000,non vincolato,Scolastico,autore non documentato,sec. XX
Scuola Materna San Giuseppe,Scuola,Via Mazzini 8,45.46671,9.20789,1800000,non vincolato,Scolastico,autore non documentato,sec. XX
Scuola Materna G. Rodari,Scuola,Via Verdi 18,45.45017,9.17276,1650000,non vincolato,Scolastico,autore non documentato,sec. XX
Scuola Media G. Pascoli,Scuola,Via Pascoli 7,45.4588,9.203,5200000,non vincolato,Scolastico,autore non documentato,sec. XX
Scuola Media L. Da Vinci,Scuola,Via Leonardo 22,45.47449,9.17542,4900000,non vincolato,Scolastico,autore non documentato,sec. XX
Asilo Nido Arcobaleno,Scuola,Via Roma 12,45.47679,9.19111,1200000,non vincolato,Scolastico,autore non documentato,sec. XX
Asilo Nido Girotondo,Scuola,Via Garibaldi 45,45.47824,9.20738,1350000,non vincolato,Scolastico,autore non documentato,sec. XX
Asilo Nido Stelle,Scuola,Via Manzoni 22,45.45199,9.20897,980000,non vincolato,Scolastico,autore non documentato,sec. XX
Palazzo Comunale - Sede principale,Casa comunale,Piazza San Marco 1,45.46356,9.17624,8500000,monumentale,Amministrativo,autore non documentato,sec. XX
Sede Polizia Locale,Ufficio,Via Cavour 5,45.46317,9.17297,2100000,non vincolato,Strumentale,autore non documentato,sec. XX
Ufficio Anagrafe distaccato,Ufficio,Via XX Settembre 12,45.47167,9.19178,850000,non vincolato,Strumentale,autore non documentato,sec. XX
Magazzino Comunale Lavori Pubblici,Magazzino,Strada Provinciale 5 km 3,45.45248,9.17905,650000,non vincolato,Strumentale,autore non documentato,sec. XX
Centro Operativo Protezione Civile,Edificio polifunzionale,Via dell'Industria 8,45.4644,9.20114,1100000,non vincolato,Strumentale,autore non documentato,sec. XX
Biblioteca Civica,Biblioteca,Via dei Tigli 4,45.45745,9.17427,2800000,monumentale,Strumentale,autore non documentato,sec. XX
Museo Civico Archeologico,Museo,Piazza San Marco 8,45.45984,9.17276,4200000,monumentale,Storico-artistico,autore non documentato,sec. XX
Teatro Sociale,Edificio storico,Via Roma 25,45.45927,9.20487,6500000,monumentale,Storico-artistico,autore non documentato,sec. XX
