ANNO,NATI,DECESSI,IMMIGRATI,EMIGRATI,SALDO_NATURALE,SALDO_MIGRATORIO,TOTALE
2010,55,58,91,127,-3,-36,37200
2011,43,62,104,88,-19,16,37185
2012,58,58,133,127,0,6,37165
2013,52,57,127,107,-5,20,37115
2014,36,55,95,93,-19,2,37060
2015,42,71,128,81,-29,47,37045
2016,52,61,135,121,-9,14,36980
2017,57,72,116,94,-15,22,36940
2018,49,73,107,80,-24,27,36905
2019,59,80,100,124,-21,-24,36850
2020,48,65,107,89,-17,18,36800
2021,41,79,111,86,-38,25,36750
2022,37,67,96,102,-30,-6,36700
2023,46,74,106,82,-28,24,36650
2024,58,69,124,87,-11,37,36620
