data,tipo,codice_stato_cup,data_scadenza,via,civico,oggetto_contratto,stazione_appaltante
2018-02-01,SCIA,Acquisita,2018-03-14,Via Cavour,140,Pratica edilizia,Comune
2018-02-19,CIL,Efficace,2018-05-05,Via Verdi,130,Pratica edilizia,Comune
2018-10-01,CILA,Rigettata,2019-03-15,Via XX Settembre,57,Pratica edilizia,Comune
2018-08-19,SCIA,In istruttoria,,Viale Europa,2,Pratica edilizia,Comune
2018-03-23,CIL,Efficace,2018-06-09,Via dei Mille,87,Pratica edilizia,Comune
2018-02-03,CIL,Efficace,2018-05-22,Via Vittorio Emanuele,68,Pratica edilizia,Comune
2018-01-24,SCIA-Alternativa,Acquisita,2018-05-23,Via Garibaldi,142,Pratica edilizia,Comune
2018-05-27,CILA,Acquisita,2018-07-03,Via Roma,59,Pratica edilizia,Comune
2018-05-03,CILA,In istruttoria,,Via Garibaldi,98,Pratica edilizia,Comune
2018-05-15,CILA,Acquisita,2018-07-27,Via Cavour,69,Pratica edilizia,Comune
2018-12-22,SCIA,Acquisita,2019-06-05,Piazza San Marco,63,Pratica edilizia,Comune
2018-03-15,CIL,Efficace,,Via Cavour,143,Pratica edilizia,Comune
2018-04-22,CILA,In istruttoria,,Via dei Mille,15,Pratica edilizia,Comune
2018-04-27,CILA,In istruttoria,,Via Dante,103,Pratica edilizia,Comune
2018-05-03,CILA,Acquisita,,Via Dante,55,Pratica edilizia,Comune
2018-11-16,CIL,Rigettata,2019-02-14,Via Mazzini,64,Pratica edilizia,Comune
2018-12-18,SCIA,Rigettata,2019-06-14,Via XX Settembre,93,Pratica edilizia,Comune
2018-04-05,SCIA-Alternativa,Efficace,2018-05-20,Via Mazzini,41,Pratica edilizia,Comune
2018-11-14,SCIA,Efficace,2019-04-08,Via della Repubblica,65,Pratica edilizia,Comune
2018-09-28,CILA,Rigettata,2019-03-12,Via dei Mille,69,Pratica edilizia,Comune
2018-11-11,SCIA,Efficace,2019-04-02,Via Roma,68,Pratica edilizia,Comune
2018-09-25,PdC,Acquisita,,Viale Europa,77,Pratica edilizia,Comune
2018-11-17,CILA,Acquisita,2019-01-17,Via della Repubblica,136,Pratica edilizia,Comune
2018-01-20,CILA,Efficace,2018-05-15,Via San Francesco,79,Pratica edilizia,Comune
2018-04-02,CILA,Acquisita,,Via Garibaldi,125,Pratica edilizia,Comune
2018-02-25,PdC,Acquisita,2018-08-12,Via Mazzini,68,Pratica edilizia,Comune
2018-09-28,CIL,Acquisita,,Via dei Mille,52,Pratica edilizia,Comune
2018-12-10,CIL,Rigettata,2019-04-25,Via San Francesco,133,Pratica edilizia,Comune
2018-08-04,CILA,Acquisita,2018-08-24,Via Vittorio Emanuele,142,Pratica edilizia,Comune
2018-04-19,CILA,Efficace,2018-10-27,Via Roma,59,Pratica edilizia,Comune
2018-02-02,CILA,Efficace,2018-05-04,Via Cavour,125,Pratica edilizia,Comune
2018-04-18,PdC,Rigettata,,Via Vittorio Emanuele,148,Pratica edilizia,Comune
2018-08-08,SCIA-Alternativa,In istruttoria,,Via XX Settembre,49,Pratica edilizia,Comune
2018-02-04,CIL,Efficace,2018-06-26,Viale Europa,14,Pratica edilizia,Comune
2018-11-21,SCIA,Efficace,2019-03-10,Via dei Mille,28,Pratica edilizia,Comune
2018-04-07,CILA,Acquisita,2018-08-18,Via Mazzini,72,Pratica edilizia,Comune
2018-08-08,SCIA,Efficace,2019-01-23,Via Garibaldi,13,Pratica edilizia,Comune
2018-11-18,CILA,Efficace,,Viale Europa,61,Pratica edilizia,Comune
2018-03-14,SCIA-Alternativa,Efficace,2018-07-19,Via San Francesco,16,Pratica edilizia,Comune
2018-03-13,CILA,Efficace,2018-08-04,Via Manzoni,109,Pratica edilizia,Comune
2018-12-24,SCIA-Alternativa,Acquisita,2019-03-10,Via Roma,149,Pratica edilizia,Comune
2018-12-18,CILA,Rigettata,2019-01-17,Via Vittorio Emanuele,123,Pratica edilizia,Comune
2018-09-28,PdC,Efficace,,Via Garibaldi,48,Pratica edilizia,Comune
2018-02-20,SCIA,Rigettata,,Via XX Settembre,31,Pratica edilizia,Comune
2018-10-08,CILA,Acquisita,2019-04-04,Via Vittorio Emanuele,134,Pratica edilizia,Comune
2018-06-09,CILA,Rigettata,2018-09-01,Via Manzoni,102,Pratica edilizia,Comune
2018-03-22,SCIA,Efficace,2018-04-27,Via Roma,118,Pratica edilizia,Comune
2018-10-19,SCIA,Efficace,2019-03-23,Via Manzoni,34,Pratica edilizia,Comune
2018-06-03,CILA,Efficace,2018-10-18,Viale Europa,140,Pratica edilizia,Comune
2018-12-10,CILA,Rigettata,2019-03-17,Via San Francesco,27,Pratica edilizia,Comune
2018-03-09,SCIA,Efficace,2018-05-07,Via Manzoni,73,Pratica edilizia,Comune
2018-10-07,CILA,Acquisita,2019-01-05,Via della Repubblica,126,Pratica edilizia,Comune
2018-05-28,CILA,Efficace,2018-09-01,Via Roma,1,Pratica edilizia,Comune
2018-06-25,PdC,Rigettata,,Via Mazzini,114,Pratica edilizia,Comune
2018-09-23,CIL,Acquisita,2018-11-01,Via San Francesco,39,Pratica edilizia,Comune
2019-01-27,CILA,Acquisita,2019-06-12,Via Mazzini,11,Pratica edilizia,Comune
2019-05-12,CILA,Efficace,2019-08-06,Via Cavour,27,Pratica edilizia,Comune
2019-06-25,CIL,Acquisita,2019-09-16,Viale Europa,42,Pratica edilizia,Comune
2019-03-14,CILA,Acquisita,2019-07-02,Via dei Mille,106,Pratica edilizia,Comune
2019-11-28,CILA,Efficace,2020-01-14,Via XX Settembre,10,Pratica edilizia,Comune
2019-08-08,CILA,In istruttoria,,Via San Francesco,118,Pratica edilizia,Comune
2019-06-10,CILA,Acquisita,2019-08-18,Via XX Settembre,85,Pratica edilizia,Comune
2019-05-28,SCIA,In istruttoria,,Via Manzoni,90,Pratica edilizia,Comune
2019-11-17,CIL,Rigettata,,Via della Repubblica,85,Pratica edilizia,Comune
2019-01-04,SCIA,Acquisita,2019-04-02,Via Roma,28,Pratica edilizia,Comune
2019-10-14,CILA,Rigettata,2020-02-28,Via Vittorio Emanuele,131,Pratica edilizia,Comune
2019-02-13,CILA,Efficace,2019-06-27,Via Roma,134,Pratica edilizia,Comune
2019-09-22,CILA,Efficace,2020-01-09,Via Vittorio Emanuele,81,Pratica edilizia,Comune
2019-11-28,SCIA,Rigettata,,Via della Repubblica,80,Pratica edilizia,Comune
2019-11-14,CILA,Efficace,2020-05-02,Via Mazzini,50,Pratica edilizia,Comune
2019-07-22,CIL,Rigettata,2019-09-25,Via Vittorio Emanuele,146,Pratica edilizia,Comune
2019-05-13,CILA,Efficace,2019-09-26,Via dei Mille,149,Pratica edilizia,Comune
2019-10-21,CILA,Efficace,2020-01-06,Via della Repubblica,122,Pratica edilizia,Comune
2019-12-06,SCIA,Efficace,2020-06-15,Via Vittorio Emanuele,86,Pratica edilizia,Comune
2019-02-27,CILA,Rigettata,2019-05-08,Via Mazzini,7,Pratica edilizia,Comune
2019-01-08,SCIA-Alternativa,Acquisita,2019-02-13,Corso Italia,107,Pratica edilizia,Comune
2019-11-19,CILA,Rigettata,2020-04-20,Via XX Settembre,63,Pratica edilizia,Comune
