anno,regione,provincia,tipo_frazione,quantita,unita_misura,localita
2010,Lombardia,MI,Totale,18420000,kg,Comune Ideale
2010,Lombardia,MI,Differenziata_pct,32.5,%,Comune Ideale
2011,Lombardia,MI,Totale,18280000,kg,Comune Ideale
2011,Lombardia,MI,Differenziata_pct,38.1,%,Comune Ideale
2012,Lombardia,MI,Totale,18150000,kg,Comune Ideale
2012,Lombardia,MI,Differenziata_pct,42.8,%,Comune Ideale
2013,Lombardia,MI,Totale,18020000,kg,Comune Ideale
2013,Lombardia,MI,Differenziata_pct,46.2,%,Comune Ideale
2014,Lombardia,MI,Totale,17890000,kg,Comune Ideale
2014,Lombardia,MI,Differenziata_pct,49.5,%,Comune Ideale
2015,Lombardia,MI,Totale,17760000,kg,Comune Ideale
2015,Lombardia,MI,Differenziata_pct,52.3,%,Comune Ideale
2016,Lombardia,MI,Totale,17640000,kg,Comune Ideale
2016,Lombardia,MI,Differenziata_pct,55.8,%,Comune Ideale
2017,Lombardia,MI,Totale,17520000,kg,Comune Ideale
2017,Lombardia,MI,Differenziata_pct,58.4,%,Comune Ideale
2018,Lombardia,MI,Totale,17410000,kg,Comune Ideale
2018,Lombardia,MI,Differenziata_pct,61.2,%,Comune Ideale
2019,Lombardia,MI,Totale,17310000,kg,Comune Ideale
2019,Lombardia,MI,Differenziata_pct,63.5,%,Comune Ideale
2020,Lombardia,MI,Totale,16920000,kg,Comune Ideale
2020,Lombardia,MI,Differenziata_pct,65.1,%,Comune Ideale
2021,Lombardia,MI,Totale,17120000,kg,Comune Ideale
2021,Lombardia,MI,Differenziata_pct,67.4,%,Comune Ideale
2022,Lombardia,MI,Totale,17050000,kg,Comune Ideale
2022,Lombardia,MI,Differenziata_pct,69.8,%,Comune Ideale
2023,Lombardia,MI,Totale,16980000,kg,Comune Ideale
2023,Lombardia,MI,Differenziata_pct,71.5,%,Comune Ideale
2024,Lombardia,MI,Totale,16910000,kg,Comune Ideale
2024,Lombardia,MI,Differenziata_pct,73.2,%,Comune Ideale
