anno,categoria,numero,totale_costo,interventi
2020,Anziani,980,1850000,220
2021,Anziani,1020,1920000,235
2022,Anziani,1075,2010000,251
2023,Anziani,1130,2100000,268
2024,Anziani,1180,2210000,285
2020,Minori,420,980000,145
2021,Minori,445,1050000,152
2022,Minori,463,1120000,158
2023,Minori,488,1180000,165
2024,Minori,510,1240000,172
2020,Disabilità,215,1450000,95
2021,Disabilità,228,1540000,102
2022,Disabilità,245,1620000,108
2023,Disabilità,256,1710000,115
2024,Disabilità,270,1810000,124
2020,Povertà,390,720000,180
2021,Povertà,525,950000,245
2022,Povertà,480,870000,220
2023,Povertà,410,760000,195
2024,Povertà,365,690000,178
2020,Immigrazione,145,280000,65
2021,Immigrazione,168,320000,75
2022,Immigrazione,195,380000,88
2023,Immigrazione,220,425000,102
2024,Immigrazione,245,470000,115
2020,Salute mentale,88,195000,42
2021,Salute mentale,95,215000,48
2022,Salute mentale,108,245000,55
2023,Salute mentale,120,275000,62
2024,Salute mentale,135,305000,70
