nome,categoria,luogo,organizzatore
Museo in gioco a Potenza,Visita Guidata,Museo archeologico nazionale della Basilicata Dinu Adamesteanu,Ministero della Cultura
Tra Cielo e terra Potenza,Visita Guidata,Soprintendenza Archeologia Belle Arti e Paesaggio per la Basilicata,Ministero della Cultura
Domenica di carta 2022 al Polo Bibliotecario di Potenza,Apertura Straordinaria,Biblioteca Nazionale di Potenza,Ministero della Cultura
Editoria e Potenza la sesta tappa del viaggio di Geronimo Stilton per le Biblioteche del MiC,Incontro,Biblioteca Nazionale di Potenza,Ministero della Cultura
Una storia per immagini Il fondo fotografico Emilio Colombo,Incontro,Biblioteca Nazionale di Potenza,Ministero della Cultura
Campionati del Patrimonio 2026,Concorso,Museo archeologico nazionale della Basilicata Dinu Adamesteanu,A.N.I.S.A.
Che ne sai tu di un campo di grano,Attivita Didattica,Museo archeologico nazionale della Basilicata Dinu Adamesteanu,Ministero della Cultura
Laboratorio di archeomusicologia per bambini,Attivita Didattica,Museo archeologico nazionale della Basilicata Dinu Adamesteanu,Ministero della Cultura
Protezione dell amore e cura della famiglia nel culto della Marica,Convegno,Museo archeologico nazionale della Basilicata Dinu Adamesteanu,Ministero della Cultura
Oasicinema Fiore mio,Proiezione,Museo archeologico nazionale della Basilicata Dinu Adamesteanu,Ministero della Cultura
Giornata Nazionale del Paesaggio,Convegno,Museo archeologico nazionale della Basilicata Dinu Adamesteanu,Ministero della Cultura
Le sonate a due violini e continuo,Concerto,Museo archeologico nazionale della Basilicata Dinu Adamesteanu,Ministero della Cultura
Mostra documentaria,Mostra,Archivio di Stato di Potenza,Ministero della Cultura
Giornata del Contemporaneo La tutela del Contemporaneo,Incontro,Soprintendenza Archeologia Belle Arti e Paesaggio per la Basilicata,Ministero della Cultura
Concerto al Museo,Concerto,Museo archeologico nazionale della Basilicata Dinu Adamesteanu,Ministero della Cultura
Fiori al Museo,Mostra,Museo archeologico nazionale della Basilicata Dinu Adamesteanu,Ministero della Cultura
Apertura straordinaria al pubblico,Apertura Straordinaria,Biblioteca Nazionale di Potenza,Ministero della Cultura
Notte Europea dei Musei 2024 Museo Adamesteanu Potenza,Apertura Straordinaria,Museo archeologico nazionale della Basilicata Dinu Adamesteanu,Ministero della Cultura
Festa della Musica,Concerto,Museo archeologico nazionale della Basilicata Dinu Adamesteanu,Ministero della Cultura
Ferragosto al Museo Archeologico di Potenza,Apertura festiva,Museo archeologico nazionale della Basilicata Dinu Adamesteanu,Ministero della Cultura
Domenica al Museo di Potenza,Visita Libera,Museo archeologico nazionale della Basilicata Dinu Adamesteanu,Ministero della Cultura
Pasqua al Museo Archeologico Nazionale di Potenza,Apertura festiva,Museo archeologico nazionale della Basilicata Dinu Adamesteanu,Ministero della Cultura
Pasquetta al Museo Archeologico Nazionale di Potenza,Apertura festiva,Museo archeologico nazionale della Basilicata Dinu Adamesteanu,Ministero della Cultura
La Via Herculia da Grumentum al Pons Aufidi,Convegno,Museo archeologico nazionale della Basilicata Dinu Adamesteanu,Ministero della Cultura
Prima domenica del mese al Museo di Potenza Il teatro delle ombre,Spettacolo,Museo archeologico nazionale della Basilicata Dinu Adamesteanu,Ministero della Cultura
Giornata internazionale contro la violenza degli uomini sulle donne,Convegno,Museo archeologico nazionale della Basilicata Dinu Adamesteanu,Ministero della Cultura
Giornata Nazionale del Cieco - A Luci spente,Visita Guidata,Museo archeologico nazionale della Basilicata Dinu Adamesteanu,Ministero della Cultura
Cinema Ecologico al Museo,Proiezione,Museo archeologico nazionale della Basilicata Dinu Adamesteanu,Ministero della Cultura
Festival musicale La Fantasia,Concerto,Museo archeologico nazionale della Basilicata Dinu Adamesteanu,Ministero della Cultura
Notte europea dei Musei,Apertura Straordinaria,Museo archeologico nazionale della Basilicata Dinu Adamesteanu,Ministero della Cultura
Lezioni al Museo Dinu Adamesteanu di Potenza,Seminario,Museo archeologico nazionale della Basilicata Dinu Adamesteanu,Ministero della Cultura
Concerto Jazz Potenza Piazza Duomo,Concerto,Museo archeologico nazionale della Basilicata Dinu Adamesteanu,Ministero della Cultura
Voci dell archeologia lucana Francesco Ranaldi,Convegno,Museo archeologico nazionale della Basilicata Dinu Adamesteanu,Ministero della Cultura
Festival Jazz Jazzualdo,Concerto,Museo archeologico nazionale della Basilicata Dinu Adamesteanu,Ministero della Cultura
Patrimonio in Vita Le lunghe vie dell Ambra,Visita Guidata,Museo archeologico nazionale della Basilicata Dinu Adamesteanu,Ministero della Cultura
GEP 2024 Conoscere tutelare e valorizzare il patrimonio culturale,Mostra,Soprintendenza Archivistica e Bibliografica della Basilicata,Ministero della Cultura
Notte Europea dei Musei 2021,Apertura Straordinaria,Museo archeologico nazionale della Basilicata Dinu Adamesteanu,Ministero della Cultura
Apertura straordinaria di Santo Stefano - Museo Archeologico Potenza,Apertura Straordinaria,Museo archeologico nazionale della Basilicata Dinu Adamesteanu,Ministero della Cultura
Festival di musica barocca Thesaurus Musicae,Concerto,Museo archeologico nazionale della Basilicata Dinu Adamesteanu,Ministero della Cultura
Olimpiadi del Patrimonio,Concorso,Museo archeologico nazionale della Basilicata Dinu Adamesteanu,A.N.I.S.A.
