struttura,anno,tipo_struttura,via
L.S. PASOLINI POTENZA,2025,Secondaria II,VIA ANZIO SNC
I.C. L. SINISGALLI POTENZA,2025,Comprensivo,VIA ANZIO
PIAZZA ADRIATICO-SINISGALLI PZ,2025,Infanzia,PIAZZA ADRIATICO
MALVACCARO - IC SINISGALLI PZ,2025,Infanzia,VIA ALIANELLO
SEDE CARCERARIA POTENZA,2025,Primaria,VIA PIETRO LACAVA N.2
I.P.S.E.O.A. DI PASCA CORSO SERALE PZ,2025,Secondaria II,VIA ANZIO N. 4
I.P. DI PASCA - SEZIONE CARCERARIA PZ,2025,Secondaria II,VIA ANZIO N 4
I.P. CORSO SERALE FORTUNATO POTENZA,2025,Secondaria II,VIA F. TORRACA 13
CASA CIRCONDARIALE MINORILE PZ,2025,Secondaria II,Non Disponibile
I.P.S.A.S.R. G. FORTUNATO POTENZA,2025,Secondaria II,VIA F. TORRACA 13
I.T.T. EINST.-DE LOR.SEZ.ITG POTENZA,2025,Secondaria II,VIA SICILIA 4
VIA DOMENICO SAVIO-IC SAVIO PZ,2025,Infanzia,VIA DOMENICO SAVIO
I.C. D. SAVIO POTENZA,2025,Comprensivo,VIA DI GIURA - RIONE RISORGIMENTO
SAN NICOLA-IC BUSCIOLANO PZ,2025,Primaria,PIANO SAN NICOLA
MILANI- IC DON MILANI PZ,2025,Primaria,VIA TIRRENO
INF. ROSSELLINO - IC MILANI PZ,2025,Infanzia,CONTRADA ROSSELLINO
I.C. BUSCIOLANO POTENZA,2025,Comprensivo,VIA SICILIA 11
PRIMARIA RODARI- LEOPARDI PZ,2025,Primaria,C.DA BUCALETTO
VIA CALABRIA - IC BUSCIOLANO PZ,2025,Infanzia,VIA CALABRIA
I GRADO A.BUSCIOLANO PZ,2025,Secondaria I,VIA SICILIA 11
I.C. DON MILANI-LEOPARDI PZ,2025,Comprensivo,VIA TIRRENO 25
I GRADO - L.SINISGALLI PZ,2025,Secondaria I,VIA ANZIO
INF. VIA IONIO - IC MILANI PZ,2025,Infanzia,VIA IONIO
POGGIO TRE GALLI-SINISGALLI PZ,2025,Primaria,C.DA POGGIO TRE GALLI
SEDE CARCERARIA POTENZA,2025,Secondaria I,VIA PIETRO LACAVA N.2
L. LINGUISTICO L. DA VINCI POTENZA,2025,Secondaria II,VIA ANCONA SNC
CPIA PZ-SEDE ASSOCIATA POTENZA,2025,Altro,VIA P.LACAVA2
C.P.I.A. POTENZA,2025,Secondaria I,VIA P.LACAVA 2
MERCURIO - IC D. SAVIO POTENZA,2025,Primaria,VIA DOMENICO SAVIO
I.T.E. L. DA VINCI POTENZA,2025,Secondaria II,VIA ANCONA SNC
I GRADO - D. SAVIO PZ,2025,Secondaria I,RIONE RISORGIMENTO
18 AGOSTO-IC TORR.B.LA V. PZ,2025,Primaria,VIA DEL POPOLO 22
VIA IV NOVEMBRE - IC TOR-BO. PZ,2025,Infanzia,VIA IV NOVEMBRE
RIONE CASTELLO - LA VISTA PZ,2025,Infanzia,VIA ROMA
TULLIO TROTTA-IC MILANI PZ,2025,Primaria,VIA BRAMANTE
I.T.T. EINST.-DE LOR. SEZ.ITIS POTENZA,2025,Secondaria II,VIA R.DANZI
PRIMARIA STIGLIANI-LEOPARDI PZ,2025,Primaria,VIA CIRILLO N.20 - RIONE LUCANIA
I.I.S. EINSTEIN - DE LORENZO POTENZA,2025,Secondaria II,VIA SICILIA 4
A. GRIPPO-IC MILANI PZ,2025,Primaria,C/DA ROSSELLINO
I.T.T. EINST-DE LORSEZ. SERALE POTENZA,2025,Secondaria II,VIA SICILIA 4
RIONE LUCANIA - LEOPARDI PZ,2025,Infanzia,VIA LACAVA - RIONE LUCANIA
INF. VIA TIRRENO - IC MILANI PZ,2025,Infanzia,VIA TIRRENO 25
S.G. BOSCO - LA VISTA PZ,2025,Primaria,VIA VERDI N.3
VIA DELLE ACACIE-TORRACA,2025,Infanzia,VIA DELLA ACACIE
SEZ.OSPEDALIERA S.CARLO PZ IC BUSCIOLANO,2025,Primaria,VIA POTITO PETRONE
CONVITTO ALBERGHIERO DI PASCA - POTENZA,2025,Altro,VIA ANZIO 4
FRANCIOSO - LA VISTA PZ,2025,Primaria,VIA E.TOTI
AVIGLIANO SCALO - IC BUSCIOLANO,2025,Infanzia,AVIGLIANO SCALO
