nome,anno,codice_stato_cup,costo_lavori_previsto,cup,fonte_finanziamento,lat,lon,tipo,nome_completo
	ALLARGAMENTO VIABILITÀ E PERCORSI PEDONALI IN DIREZIONE VIA ACERENZA E DISCESA SAN GERARDO  MEDIANTE SISTEMAZIONE DELLA SCA,2024,ATTIVO,2000000.00,B33D24000050001,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
REALIZZAZIONE DI ALLOGGI ED ANNESSI LOCALI IN LOCALITÀ BUCALETTO NEL COMUNE DI POTENZA,2023,ATTIVO,7000000.00,B35G23000010001,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
REALIZZAZIONE PARATIA,2023,ATTIVO,61726.27,B35F23000280004,Statale,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
REALIZZAZIONE DI N° 2 CENTRI DI RACCOLTA COMUNALI NELLA CITTÀ DI POTENZA (ISOLA ECOLOGICA),2022,ATTIVO,1000000.00,B32F20000670006,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
REALIZZAZIONE DI UN IMPIANTO DI SEPARAZIONE RU IN LOCALITÀ VALLONE CALABRESE DEL COMUNE DI POTENZA,2022,ATTIVO,1000000.00,B32F21000030001,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
LAVORI DI REALIZZAZIONE DI UNA CICLOVIA URBANA - AREE D'INTERVENTO VIA DEL GALLITELLO E VIA ISCA DEL PIOPPO,2022,ATTIVO,236571.32,B31B22001580006,Statale,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
MESSA IN SICUREZZA MURO DI CONTENIMENTO VILLA DI SANTA MARIA,2022,ATTIVO,203337.57,B39F22015530006,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
LAVORI DI RIPRISTI,2022,ATTIVO,126478.48,B37H22002170005,Statale,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
ADEGUAMENTO STRUTTURALE,2022,ATTIVO,,B36F22000340002,,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
DEMOLIZIONE E REALIZZAZIONE DI 20 ALLOGGI NEL SETTORE 15 DI BUCALETTO E ACQUISTO DI 3 ALLOGGI,2021,ATTIVO,,B31B21012690002,,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
DEMOLIZIONE E RICOSTRUZIONE IN SITO DELLA SCUOLA PRIMARIA,2021,ATTIVO,,B32E19000240001,,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
"REALIZZAZIONE PAVIMENTAZIONI STRADALI, OPERE DI RACCOLTA DI ACQUE METEORICHE, MESSA IN SICUREZZA DI PERCORSI PEDONAL",2020,ATTIVO,586219.45,B37H20000730002,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
DEMOLIZIONE PREFABBRICATI,2020,ATTIVO,382276.16,B33B20000210002,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
ADEGUAMENTO LOCALI SCOLASTICI,2020,ATTIVO,39500.00,B34H20001450001,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
ADATTAMENTO SPAZI SCOLASTICI,2020,ATTIVO,39000.00,B34H20001460001,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
ADEGUAMENTO ENERGETICO,2019,ATTIVO,500000.00,B31I18000860006,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
SOSTITUZIONE CALDAIA,2019,ATTIVO,,B31F19000190001,,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
SOSTITUZIONE CALDAIA,2019,ATTIVO,,B31F19000200001,,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
SOSTITUZIONE CALDAIA,2019,ATTIVO,,B31F19000180001,,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
SOSTITUZIONE CALDAIA,2019,ATTIVO,,B31F19000210001,,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
