denominazione,tipo,indirizzo,qualita,consistenza
Ex Ospedale San Carlo,Fabbricato,Potenza,true,Edificio storico dismesso
Ex Convento San Luca,Convento,Potenza,true,Edificio religioso storico
Palazzo Loffredo,Palazzo,Potenza,true,Sede museale (oggi Museo Dinu Adamesteanu)
Ex Dispensario antitubercolare,Fabbricato,Potenza,true,Edificio pubblico storico
Pal. ex Provveditorato O.O.P.P. per la Lucania,Palazzo,Potenza,true,Edificio pubblico storico
Cavalca Ferrovia del Francioso,Infrastruttura,Potenza,true,Cavalcavia ferroviario storico
Ponte Musmeci,Ponte,Potenza,true,Ponte di Sergio Musmeci - opera architettonica simbolo della citta
Palazzo Uffici Governativi,Palazzo,Potenza,true,Sede istituzionale
Masseria Giovanniello,Masseria,Potenza,true,Architettura rurale storica
Progetto Ophelia - Pal. Amministrazione,Fabbricato,Potenza,true,Ex complesso ospedaliero psichiatrico
Progetto Ophelia - Gradinata sovrastante Galleria,Infrastruttura,Potenza,true,Ex complesso ospedaliero psichiatrico
Progetto Ophelia - Pal. Accettazione Uomini,Fabbricato,Potenza,true,Ex complesso ospedaliero psichiatrico
Progetto Ophelia - Pal. Accettazione donne,Fabbricato,Potenza,true,Ex complesso ospedaliero psichiatrico
Progetto Ophelia - Galleria,Infrastruttura,Potenza,true,Ex complesso ospedaliero psichiatrico
Progetto Ophelia - Ex Padiglione 4 Tranquille,Fabbricato,Potenza,true,Ex complesso ospedaliero psichiatrico
Progetto Ophelia - Ex Padiglione 6 Infermeria,Fabbricato,Potenza,true,Ex complesso ospedaliero psichiatrico
Progetto Ophelia - Ex Padig.24 Colonia agricola,Fabbricato,Potenza,true,Ex complesso ospedaliero psichiatrico
Progetto Ophelia - Ex Padiglione 11 Cucine,Fabbricato,Potenza,true,Ex complesso ospedaliero psichiatrico
Progetto Ophelia - Ex Padiglione 13 Guardaroba,Fabbricato,Potenza,true,Ex complesso ospedaliero psichiatrico
Masseria Loguercio,Masseria,Potenza,true,Architettura rurale storica
Seminario Pontificio,Fabbricato,Potenza,true,Edificio religioso storico
Ex Museo Provinciale,Fabbricato,Potenza,true,Edificio storico ex museale
Palazzo Biscotti,Palazzo,Potenza,true,Edificio storico
Palazzo Bollettino - Ex Torre medioevale,Torre,Potenza,true,Torre medievale
Teatro Comunale Francesco Stabile,Teatro,Potenza,true,Teatro storico cittadino
Porta S. Luca,Infrastruttura,Potenza,true,Porta storica della citta
Ponte Romano S. Vito,Ponte,Potenza,true,Ponte di epoca romana
Palazzo Pignatari - Ex Palazzo Addone,Palazzo,Potenza,true,Edificio storico
Porta San Giovanni - Casa Agresti,Infrastruttura,Potenza,true,Porta storica della citta
Chiesa e Largo San Michele,Chiesa,Potenza,true,Edificio religioso e spazio urbano storico
Caserma Lucania,Fabbricato,Potenza,true,Edificio militare storico
Palazzo delle Chiariste,Palazzo,Potenza,true,Edificio storico
Ex Biblioteca Provinciale,Fabbricato,Potenza,true,Edificio pubblico storico
Stazione ferroviaria di Potenza Centrale/Inferiore,Infrastruttura,Potenza,true,Stazione ferroviaria storica
Stazione ferroviaria di Potenza Superiore,Infrastruttura,Potenza,true,Stazione ferroviaria storica
Palazzo Bonifacio,Palazzo,Potenza,true,Edificio storico
Torre del Castello,Torre,Potenza,true,Torre medievale - simbolo della citta
Villa Santa Maria,Parco,Potenza,true,Parco commemorativo - Parco della Rimembranza Orto botanico
Centro storico di Potenza,Tessuto urbano,Potenza,true,Centro storico di crinale murato di origine pre-romana (IV sec. a.C.)
Antico impianto di depurazione,Infrastruttura,Potenza,true,Impianto storico
Viadotto Km 103+660 sulla Linea Ferroviaria Foggia-Potenza,Infrastruttura,Potenza,true,Viadotto ferroviario storico
