ID,latitude,longitude,name,TOPONIMO,INDIRIZZO,CIVICO,DESCRIZIONE,orari_comunicati,TELEFONO,E-MAIL,lunedimattina,lunedipomeriggio,martedimattina,martedipomeriggio,mercoledimattina,mercoledipomeriggio,giovedimattina,giovedipomeriggio,venerdimattina,venerdipomeriggio,sabatomattina,sabatopomeriggio,domenicamattina,domenicapomeriggio,h24
1,40.350173,18.177244,ACI LECCE,VIA,GIOVANNI ANTONIO ORSINI DEL BALZO,17,POSTAZIONE CON DEFIBRILLATORE DAE,L/V 08.00-1300 M. e G. 16.00-18.00 S 08.00-11.00,,,08:00-13:00,,08:00-13:00,16:00-18:00,08:00-13:00,,08:00-13:00,16:00-18:00,08:00-13:00,,08:00-11:00,,,,
2,40.34231244,18.16008389,CHECK UP CENTRE,VIA,DANIELA E PAOLA BASTIANUTTI,35,POSTAZIONE CON DEFIBRILLATORE DAE,"L/V 09,00-13,00 16.00-19.00",,,09:00-13:00,16:00-19:00,09:00-13:00,16:00-19:00,09:00-13:00,16:00-19:00,09:00-13:00,16:00-19:00,09:00-13:00,16:00-19:00,,,,,
3,40.36387693,18.182652,CHIESA DEI SALESIANI,VIA,SAN DOMENICO SAVIO,7,POSTAZIONE CON DEFIBRILLATORE DAE,,,,,,,,,,,,,,,,,,
4,40.35687894,18.16803932,CIRCOLO TENNIS,PIAZZA,ANGELO RIZZO,,POSTAZIONE CON DEFIBRILLATORE DAE,"L/S 08,30-22,00",,,08:30-13:59,14:00-22:00,08:30-13:59,14:00-22:00,08:30-13:59,14:00-22:00,08:30-13:59,14:00-22:00,08:30-13:59,14:00-22:00,08:30-13:59,14:00-22:00,,,
5,40.35205513,18.18286657,CLIOCOM,VIA,95° REGGIMENTO FANTERIA,70,POSTAZIONE CON DEFIBRILLATORE DAE,"L/V 09,00-13,00 15,00-19,00",,,09:00-13:00,15:00-19:00,09:00-13:00,15:00-19:00,09:00-13:00,15:00-19:00,09:00-13:00,15:00-19:00,09:00-13:00,15:00-19:00,,,,,
6,40.3444508,18.18308115,CONFCOMMERCIO,VIA,CICOLELLA,3,POSTAZIONE CON DEFIBRILLATORE DAE,"L/G 8,30-13,30 15,00-18,30 V 8,30-13,30 LUG-AGO L/V 8,00-14,00",,,08:30-13:30,15:00:00-18:30,08:30-13:30,15:00:00-18:30,08:30-13:30,15:00:00-18:30,08:30-13:30,15:00:00-18:30,08:30-13:30,,,,,,
7,40.3520763,18.181077,FARMACIA DE PACE LICIGNANO,VIA,95° REGGIMENTO FANTERIA,53,POSTAZIONE CON DEFIBRILLATORE DAE,"L/S 8,30-20,30 D 10-13 17,30-20,00",,,08:30-13:59,14:00-20:30,08:30-13:59,14:00-20:30,08:30-13:59,14:00-20:30,08:30-13:59,14:00-20:30,08:30-13:59,14:00-20:30,08:30-13:59,14:00-20:30,10:30-13:00,17:30-20:00,
8,40.34373121,18.17505598,FARMACIA ELIA,VIA,LEUCA,115,POSTAZIONE CON DEFIBRILLATORE DAE,"L/S 8,30-13,00 17,00-20,30",,,08:30-13:00,17:00-20:30,08:30-13:00,17:00-20:30,08:30-13:00,17:00-20:30,08:30-13:00,17:00-20:30,08:30-13:00,17:00-20:30,08:30-13:00,17:00-20:30,,,
9,40.35292998,18.17311406,FARMACIA FEROCINO,PIAZZA,SANT'ORONZO,31,POSTAZIONE CON DEFIBRILLATORE DAE,,,,,,,,,,,,,,,,,,
10,40.35920078,18.19284439,FARMACIA MESSA,VIA,DELLA LIBERTA',170,POSTAZIONE CON DEFIBRILLATORE DAE,,,,,,,,,,,,,,,,,,
