nome iniziativa,autore ,interpreti,descrizione,periodo,luogo,ingresso,organizzatore
Stagione teatrale,vari,vari,spettacoli teatrali con compagnie di rilievo nazionale,gennaio- maggio,"Teatro Comunale ""G.Paisiello""",a pagamento,Comune di Lecce in collaborazione con Teatro Pubblico Pugliese
Teatro a 99 cent,vari,vari,spettacoli teatrali con compagnie locali o giovani compagnie,gennaio -maggio,"Teatro Comunale ""G.Paisiello""",a pagamento - 0.99 cent,Comune di Lecce 
Teatro in jeans,vari,vari,spettacoli teatrali per ragazzi e spettacoli interpretati da ragazzi,gennaio - giugno,"Teatro Comunale ""G.Paisiello""  Teatro romano  chiostro Teatini", a pagamento gli spettacoli mattutini per le scuole  ingresso libero per gli spettacoli realizzati dagli allievi,Comune di Lecce - Teatro Pubblico Pugliese - scuole varie
La scena dei ragazzi,vari,vari,spettacoli teatrali per ragazzi ,febbraio-aprile,Cantieri teatrali Koreja,a pagamento,Koreja - Comune di Lecce - Teatro Pubblico Pugliese
Residenza teatrale Astragali,vari,vari,spettacoli teatrali  concerti  manifestazioni culturali varie,settembre-giugno,"Teatro Comunale ""Paisiello""",in genere a pagamento,Astragali teatro in collaborazione con il Comune di Lecce
Itinerario Rosa,nd,vari,rassegna di spettacoli  manifestazioni sportive  incontri  convegni  mostre  laboratori dedicati alla donna,marzo- aprile,luoghi vari,libero,Comune di Lecce in collaborazione con varie associazioni cittadine
Lu Riu,nd,vari,"la ""pasquetta"" dei leccesi con animazione  musica  attivitˆ ludiche  gastronomia",marted“ dopo Pasqua,Parco di Belloluogo o Parco Rauccio,libero,Comune di Lecce
Fiera del Fischietto,artigiani salentini,,mostra di fischietti (manufatti tipici dell'artigianato salentino),un fine settimana di aprile,Chiostro Teatini,libero,Academia Lupiaensis in collaborazione con il Comune di Lecce
Festival del Cinema Europeo,vari,vari,proiezioni  dibattiti  mostre  premiazioni,aprile,Cinema Massimo  Castello Carlo V e vari altri luoghi,a pagamento,Associazione Art Promotion in collaborazione con il Comune di Lecce
Cortili aperti,nd,vari,apertura dei cortili dei palazzi storici della cittˆ con mostre  spettacoli  visite guidate,ultima domenica di maggio,Centro storico,libero,Associazione Dimore Storiche sez.Lecce e Comune di Lecce
Fiera delle Campanelle,artigiani salentini,,mostra delle campanelle (manufatti tipici della tradizione salentina),un fine settimana di maggio o primi di giugno,Chiostro Teatini,libero,Academia Lupiaensis in collaborazione con il Comune di Lecce
Sogni in movimento,nd,vari,rassegna di saggi-spettacolo di varie scuole di danza,10 giugno - 10 luglio,Anfiteatro romano  Teatro Paisiello  chiostro Teatini,con invito gratuito da ritirare presso il Castello Carlo V o presso le associazioni partecipanti,Comune di Lecce e varie associazioni
Lecc&#39;&egrave; -  festival delle emozioni nel cuore del barocco,nd,vari,rassegna di spettacoli musicali  teatrali  di danza,luglio - settembre,vari luoghi della cittˆ e delle marine,per alcuni spettacoli a pagamento  per altri ingresso libero,Comune di Lecce
Battiti live,nd,vari,spettacolo musicale,un giorno di luglio,Piazza S.Oronzo,libero,Radio Norba in collaborazione con il Comune di Lecce
Open days,nd,nd,aperture straordinarie di vari siti di interesse turistico- storico - culturale - artistico - visite guidate e animazione,luglio-settembre,vari,libero,Puglia Promozione in collaborazione con il Comune di Lecce
tappa del Festival itinerante Notte della Taranta ,nd,vari,spettacolo musicale,generalmente 14 agosto,Piazza S.Oronzo,libero,Fondazione Notte della Taranta in collaborazione con il Comune di Lecce
Festa patronale in onore dei ss. Oronzo  Giusto  Fortunato,nd,vari,fiera  spettacoli musicali  luminarie  spettacolo pirotecnico,24 - 25 - 26 agosto,Piazza S.Oronzo,libero,Comitato Feste Patronali e Comune di Lecce
Art Lab,nd,nd,"convegni  incontri e confronti  sulla ""cultura"" e il management culturale con opinion leader internazionali ",una settimana di settembre,MUST e vari altri luoghi,libero,Fondazione Fitzcarraldo onlus Torino in collaborazione con il Comune di Lecce
Notte Bianca,,vari,spettacoli vari,un giorno da aprile a settembre,centro cittadino,libero,Ass.ne Obiettivo Primo Piano e Comune di Lecce
Fiera di S.Lucia,artigiani salentini,,mostra dell'arte presepiale salentina,8 - 24 dicembre,Chiostro Teatini,libero,Comune di Lecce
Magie di una festa,nd,vari,rassegna di spettacoli natalizi,8 dicembre - 6 gennaio,vari,per alcuni spettacoli a pagamento  per altri ingresso libero,Comune di Lecce
Citt&agrave; dei Presepi,nd,nd,itinerario tra i presepi artistici e viventi del Salento,24 dicembre - 6  gennaio,vari comuni salentini,libero,"Associazione intercomunale ""Cittˆ dei Presepi"""
Mostre varie,vari,vari,mostre d'arte,tutto l'anno,MUST  Castello Carlo V  Teatini  Conservatorio S.Anna,libero o a pagamento a seconda del tipo di mostra,vari
Convegni  dibattiti  seminari,nd,nd,,tutto l'anno,MUST  Castello Carlo V  Conservatorio S.Anna  Palazzo Turrisi,libero,vari
Laboratori ludico-creativi,nd,nd,laboratori ludico-creativi di pittura  artigianato ecc. rivolti soprattutto a bambini e ragazzi,tutto l'anno,MUST,a pagamento,Ass.ne LedA in collaborazione con il Comune di Lecce
