data,lat,lon,morti,feriti,zona,ora
2013-01-01,40.34761,18.17225,,1,LECCE,17:45
2013-01-02,40.36433,18.18515,,3,LECCE,02:00
2013-01-02,40.33963,18.1787,,1,LECCE,12:50
2013-01-02,40.36233,18.1766,,,LECCE,16:00
2013-01-02,40.34299,18.17798,,2,LECCE,16:30
2013-01-02,40.34269,18.17346,,1,LECCE,21:05
2013-01-03,40.36075,18.15661,,,LECCE,15:30
2013-01-03,40.36075,18.15661,,1,LECCE,17:00
2013-01-04,40.32957,18.15907,,3,LECCE,08:30
2013-01-04,40.35731,18.17762,,,LECCE,18:20
2013-01-04,40.35731,18.17762,,1,LECCE,19:45
2013-01-06,40.34924,18.15996,,,LECCE,09:20
2013-01-06,40.33826,18.20592,,1,LECCE,17:20
2013-01-07,40.34426,18.17342,,,LECCE,14:00
2013-01-08,40.33833,18.17077,,,LECCE,14:30
2013-01-08,40.36951,18.13523,,2,LECCE,20:30
2013-01-09,40.35382,18.17922,,2,LECCE,11:50
2013-01-09,40.35397,18.1815,,,LECCE,18:00
2013-01-09,40.35924,18.18403,,2,LECCE,19:15
2013-01-10,40.3528,18.18931,,,LECCE,13:15
2013-01-10,40.36215,18.17196,,1,LECCE,14:35
2013-01-10,40.38323,18.28037,,,LECCE,16:20
2013-01-11,40.36711,18.22133,,1,LECCE,08:00
2013-01-12,40.37238,18.23896,,,LECCE,14:00
2013-01-12,40.34297,18.178,,1,LECCE,20:30
2013-01-13,40.3396,18.1787,,2,LECCE,15:00
2013-01-15,40.35833,18.18311,,,LECCE,19:30
2013-01-16,40.34316,18.1779,,,LECCE,00:15
2013-01-18,40.35403,18.18203,,,LECCE,18:10
2013-01-19,40.35509,18.17384,,1,LECCE,11:00
2013-01-19,40.34582,18.18726,,1,LECCE,13:15
2013-01-19,40.33489,18.19312,,1,LECCE,18:20
2013-01-20,40.34458,18.15719,,,LECCE,19:55
2013-01-21,40.34604,18.16749,,1,LECCE,14:10
2013-01-21,40.33987,18.15527,,,LECCE,15:50
2013-01-22,40.32872,18.15798,,,LECCE,09:40
2013-01-22,40.34473,18.12535,,2,LECCE,17:45
2013-01-23,40.34989,18.15102,,2,LECCE,14:26
2013-01-23,40.34684,18.18411,,,LECCE,23:00
2013-01-25,40.33552,18.16746,,3,LECCE,11:50
2013-01-26,40.35284,18.1811,,,LECCE,02:05
2013-01-26,40.3509,18.16413,,1,LECCE,23:00
2013-01-27,40.32302,18.18395,,2,LECCE,09:00
2013-01-27,40.32304,18.18768,,,LECCE,09:10
2013-01-27,40.323,18.18763,,,LECCE,09:12
2013-01-27,40.36556,18.17485,,,LECCE,22:00
2013-01-27,40.34495,18.14709,,1,LECCE,22:30
2013-01-28,40.34208,18.17387,,3,LECCE,14:50
2013-01-28,40.34902,18.17283,,1,LECCE,15:15
2013-01-29,40.34535,18.18674,,1,LECCE,08:15
2013-01-30,40.36106,18.17017,,,LECCE,19:55
2013-01-30,40.36586,18.19988,,1,LECCE,21:00
2013-01-31,40.35869,18.19149,,1,LECCE,12:50
2013-01-31,40.33776,18.17769,,1,LECCE,20:30
2013-02-01,40.36257,18.17246,,2,LECCE,08:20
2013-02-01,40.35313,18.17768,,,LECCE,18:45
2013-02-01,40.35631,18.18861,,2,LECCE,19:50
2013-02-01,40.34621,18.17077,,2,LECCE,22:20
2013-02-02,40.35722,18.1371,,1,LECCE,07:15
2013-02-02,40.35001,18.18385,,1,LECCE,12:00
2013-02-04,40.34288,18.17227,,,LECCE,00:10
2013-02-04,40.35631,18.17653,,1,LECCE,11:35
2013-02-05,40.33896,18.17734,,1,LECCE,10:50
2013-02-05,40.35631,18.17652,,,LECCE,14:20
2013-02-06,40.35444,18.18766,,,LECCE,11:20
2013-02-06,40.36065,18.16973,,,LECCE,18:15
2013-02-06,40.36228,18.17207,,2,LECCE,23:53
2013-02-07,40.35969,18.17213,,,LECCE,14:30
2013-02-09,40.35346,18.15044,,,LECCE,08:05
2013-02-09,40.34617,18.19013,,2,LECCE,14:15
2013-02-09,40.35379,18.19105,,,LECCE,18:10
2013-02-10,40.34635,18.18943,,,LECCE,09:45
2013-02-10,40.35908,18.17804,,,LECCE,11:50
2013-02-11,40.35127,18.16127,,,LECCE,13:05
2013-02-12,40.35668,18.18759,,,LECCE,15:25
2013-02-13,40.36246,18.15792,,2,LECCE,18:18
2013-02-14,40.34734,18.17181,,1,LECCE,11:00
2013-02-14,40.35594,18.19466,,1,LECCE,15:30
2013-02-15,40.35374,18.18553,,,LECCE,12:28
2013-02-15,40.34751,18.17154,,1,LECCE,12:45
2013-02-15,40.36642,18.16908,,1,LECCE,20:30
2013-02-18,40.36195,18.18868,,,LECCE,04:30
2013-02-19,40.36892,18.1685,,1,LECCE,12:30
2013-02-20,40.36615,18.17383,,1,LECCE,13:10
2013-02-20,40.33963,18.17871,,,LECCE,15:30
2013-02-20,40.35262,18.17652,,1,LECCE,23:30
2013-02-21,40.36235,18.16726,,1,LECCE,18:45
2013-02-21,40.35653,18.18396,,,LECCE,21:00
2013-02-22,40.355,18.15967,,1,LECCE,01:50
2013-02-23,40.35438,18.17644,,1,LECCE,19:05
2013-02-24,40.34818,18.16769,,,LECCE,01:35
2013-02-25,40.34741,18.17903,,,LECCE,04:20
2013-02-25,40.3487,18.16454,,1,LECCE,08:25
2013-02-25,40.37324,18.14791,,1,LECCE,09:15
2013-02-26,40.3542,18.15878,,2,LECCE,16:00
2013-02-26,40.37263,18.17905,,,LECCE,19:05
2013-02-27,40.35064,18.16346,,3,LECCE,10:30
2013-02-27,40.34449,18.15712,,3,LECCE,13:40
2013-02-27,40.3527,18.17982,,,LECCE,20:00
2013-02-28,40.338,18.15639,,2,LECCE,12:50
2013-03-01,40.35196,18.16061,,1,LECCE,15:30
2013-03-02,40.36131,18.17622,,,LECCE,10:55
2013-03-03,40.33952,18.15722,,1,LECCE,01:50
2013-03-03,40.35367,18.17896,,1,LECCE,11:25
2013-03-05,40.34395,18.17491,,1,LECCE,18:30
2013-03-06,40.35718,18.15763,,,LECCE,18:30
2013-03-07,40.35027,18.15198,,2,LECCE,07:40
2013-03-07,40.35106,18.1772,,1,LECCE,12:43
2013-03-07,40.34858,18.17371,,,LECCE,19:07
2013-03-07,40.3329,18.19522,,4,LECCE,21:00
2013-03-08,40.34846,18.15754,,1,LECCE,08:30
2013-03-08,40.357,18.1672,,1,LECCE,23:50
2013-03-09,40.35627,18.15676,,2,LECCE,09:30
2013-03-10,40.36576,18.21436,,1,LECCE,03:15
2013-03-10,40.3475,18.17149,,3,LECCE,11:30
2013-03-10,40.33972,18.17695,,1,LECCE,21:10
2013-03-11,40.35719,18.16749,,1,LECCE,18:30
2013-03-13,40.36006,18.1694,,1,LECCE,13:30
2013-03-14,40.35391,18.1746,,,LECCE,09:30
2013-03-14,40.34659,18.18383,,1,LECCE,14:15
