DENOMINAZIONE,STATOPATRIMONIALE,CONDGIUR,CESPITE,DAL,INDIRIZZO,RES11,FON11,RES3112,FON3112,STORICOCF,QUOTA,COMUNECATASTALE,FOGLIO,PARTICELLA,SUBALTERNO,SUPERFICIE,QUALITA
Fabbricati,1.2.2.02.09.99.999 - Beni immobili n.a.c.,INDISPONIBILE,"...EDIFICIO PARTICOLARE - VIA SESIA, SNC - LECCE - EDIFICIO PARTICOLARE - FG. 176 P.LLA 1113 SUB. 1",01/01/2019,"SESIA, SNC Piano T","41.383,44€","3.598,56€","40.483,80€","4.498,20€",-   €,"899,64€",LECCE,176,1113,1,0,E/9  - EDIF. A DESTINAZIONI PARTICOLARI
Fabbricati,1.2.2.02.09.99.999 - Beni immobili n.a.c.,INDISPONIBILE,"FABBRICATO SPECIALI ESIGENZE PUBBL. - VIA SAN MASSIMILIANO KOLBE, SNC - LECCE - FABBRICATO SPECIALI ESIGENZE PUBBL. - FG. 198 P.LLA 572 SUB. 1",01/01/2019,"SAN MASSIMILIANO KOLBE, SNC Piano T","594.621,30€","51.706,20€","581.694,75€","64.632,75€",-   €,"12.926,55€",LECCE,198,572,1,0,D/8  - FABBR. PER SPEC. ESIGENZE COMM.
Fabbricati,1.2.2.02.09.99.999 - Beni immobili n.a.c.,INDISPONIBILE,"ALLOGGIO E GARAGE - PIAZZALE SONDRIO, 11 - LECCE - GARAGE - FG. 198 P.LLA 585 SUB. 47",01/01/2019,"SONDRIO, 11 Piano 1","7.139,42€","620,84€","6.984,21€","776,05€",-   €,"155,21€",LECCE,198,585,47,0,"C/6  - STALLE, SCUDERIE, AUTORIMESSE"
Fabbricati,1.2.2.02.09.99.999 - Beni immobili n.a.c.,INDISPONIBILE,"ALLOGGIO E GARAGE - PIAZZALE SONDRIO, 11 - LECCE - GARAGE - FG. 198 P.LLA 585 SUB. 48",01/01/2019,"SONDRIO, 11 Piano 1","7.139,42€","620,84€","6.984,21€","776,05€",-   €,"155,21€",LECCE,198,585,48,0,"C/6  - STALLE, SCUDERIE, AUTORIMESSE"
Fabbricati,1.2.2.02.09.99.999 - Beni immobili n.a.c.,INDISPONIBILE,"ALLOGGIO E GARAGE - PIAZZALE SONDRIO, 11 - LECCE - GARAGE - FG. 198 P.LLA 585 SUB. 52",01/01/2019,"SONDRIO, 11 Piano 1","7.139,42€","620,84€","6.984,21€","776,05€",-   €,"155,21€",LECCE,198,585,52,0,"C/6  - STALLE, SCUDERIE, AUTORIMESSE"
Fabbricati,1.2.2.02.09.99.999 - Beni immobili n.a.c.,INDISPONIBILE,"ALLOGGIO E GARAGE - PIAZZALE SONDRIO, 11 - LECCE - GARAGE - FG. 198 P.LLA 585 SUB. 60",01/01/2019,"SONDRIO, 11 Piano 1","7.139,42€","620,84€","6.984,21€","776,05€",-   €,"155,21€",LECCE,198,585,60,0,"C/6  - STALLE, SCUDERIE, AUTORIMESSE"
Fabbricati,1.2.2.02.09.99.999 - Beni immobili n.a.c.,INDISPONIBILE,"ALLOGGIO E GARAGE - PIAZZALE SONDRIO, 11 - LECCE - GARAGE - FG. 198 P.LLA 585 SUB. 66",01/01/2019,"SONDRIO, 11 Piano 1","7.139,42€","620,84€","6.984,21€","776,05€",-   €,"155,21€",LECCE,198,585,66,0,"C/6  - STALLE, SCUDERIE, AUTORIMESSE"
Fabbricati,1.2.2.02.09.99.999 - Beni immobili n.a.c.,INDISPONIBILE,"ALLOGGIO E GARAGE - PIAZZALE SONDRIO, 11 - LECCE - GARAGE - FG. 198 P.LLA 585 SUB. 70",01/01/2019,"SONDRIO, 11 Piano 1","7.139,42€","620,84€","6.984,21€","776,05€",-   €,"155,21€",LECCE,198,585,70,0,"C/6  - STALLE, SCUDERIE, AUTORIMESSE"
Fabbricati,1.2.2.02.09.99.999 - Beni immobili n.a.c.,INDISPONIBILE,"ALLOGGIO E GARAGE - PIAZZALE SONDRIO, 11 - LECCE - GARAGE - FG. 198 P.LLA 585 SUB. 71",01/01/2019,"SONDRIO, 11 Piano 1","7.139,42€","620,84€","6.984,21€","776,05€",-   €,"155,21€",LECCE,198,585,71,0,"C/6  - STALLE, SCUDERIE, AUTORIMESSE"
Fabbricati,1.2.2.02.09.99.999 - Beni immobili n.a.c.,INDISPONIBILE,"...FABBRICATI SPECIALI - VIA MARCO POLO, 1 - LECCE - FABBRICATI SPECIALI - FG. 149 P.LLA 362",01/01/2019,"MARCO POLO, 1 Piano T-S1 - S2","36.543,53€","3.177,72€","35.749,10€","3.972,15€",-   €,"794,43€",LECCE,149,362,,0,E/3  - FABBR. PER SPEC. ESIGENZE PUBBL.
