id,denominazione,tipologia,indirizzo,quartiere,classificazione,posti_letto,camere,stato,tariffa_min,tariffa_max,lat,lon,data_inizio_attivita,comune
1,B&B VICO DEL SOLE,bed_and_breakfast,VICO DEL SOLE,CENTRO,,2,6,ATTIVO,100.0,,,,,Comune di Lecce
2,B&B IL BANANO,bed_and_breakfast,VIA  VITTORIO EMANUELE SECONDO,CENTRO,,2,4,ATTIVO,90.0,,,,,Comune di Lecce
3,B&B AABACA,bed_and_breakfast,VIALE FELICE CAVALLOTTI,MAZZINI,,3,6,ATTIVO,120.0,,,,,Comune di Lecce
4,B&B CHIESA GRECA,bed_and_breakfast,PIAZZETTA CHIESA GRECA,CENTRO,,6,10,ATTIVO,,,,,,Comune di Lecce
5,B&B AL GIARDINO,bed_and_breakfast,VIA FRANCESCO SCARPA,SALESIANI,,4,10,ATTIVO,40.0,,,,,Comune di Lecce
6,B&B VILLA LIBERTY,bed_and_breakfast,VIALE VITTORIO ALFIERI,LEUCA,,1,4,ATTIVO,70.0,,,,,Comune di Lecce
7,B&B INN CENTRO,bed_and_breakfast,VIA GUGLIELMO OBERDAN,MAZZINI,,5,10,ATTIVO,,,,,,Comune di Lecce
8,B&B PALAZZO ROLLO,bed_and_breakfast,VIA  VITTORIO EMANUELE SECONDO,CENTRO,,6,12,ATTIVO,70.0,,,,,Comune di Lecce
9,B&B CORTE SAN GIORGIO,bed_and_breakfast,VIA ERMENEGILDO PERSONE',CENTRO,,5,10,ATTIVO,,,,,,Comune di Lecce
10,B&B BEAUTIFUL LECCE,bed_and_breakfast,VIA  LEQUILE,FERROVIA - CASERMETTE,,2,8,ATTIVO,50.0,,,,,Comune di Lecce
11,B&B ANFITEATRO,bed_and_breakfast,VIALE VENTICINQUE LUGLIO,CENTRO,,4,10,ATTIVO,,,,,,Comune di Lecce
12,B&B DARIO'S ROOM,bed_and_breakfast,VIA GUGLIELMO OBERDAN,MAZZINI,,4,7,ATTIVO,50.0,,,,,Comune di Lecce
13,B&B BORGO PACE,bed_and_breakfast,VIA  TARANTO,BORGO PACE,,6,6,ATTIVO,,,,,,Comune di Lecce
14,B&B STELLE DEL SALENTO,bed_and_breakfast,VIA ANTONIO ZIMBALO,RUDIAE - SAN PIO,,4,9,ATTIVO,140.0,,,,,Comune di Lecce
15,B&B SOTTO LE STELLE,bed_and_breakfast,VIA DON BOSCO,FERROVIA - CASERMETTE,,4,9,ATTIVO,35.0,,,,,Comune di Lecce
16,B&B CORTE DEI MOROSINI,bed_and_breakfast,VIA  MANFREDI,CENTRO,,1,2,ATTIVO,,,,,,Comune di Lecce
17,B&B BAROCCO LIVE,bed_and_breakfast,VIA FRANCESCO RIBEZZO,MAZZINI,,3,8,ATTIVO,,,,,,Comune di Lecce
18,B&B CORTE SANTA IRENE,bed_and_breakfast,CORTE SANTA IRENE,CENTRO,,2,8,ATTIVO,50.0,,,,,Comune di Lecce
19,B&B MALIA,bed_and_breakfast,VIA GUGLIELMO PALADINI,CENTRO,,4,8,ATTIVO,110.0,,,,,Comune di Lecce
20,B&B LE AMAZZONI,bed_and_breakfast,VIA DEL BECCACCINO,FRAZIONE TORRE CHIANCA – SPIAGGIABELLA – TORRE RINALDA,,3,9,ATTIVO,50.0,,,,,Comune di Lecce
21,B&B NONNA JOLE,bed_and_breakfast,VIA GUGLIELMO PALADINI,CENTRO,,6,16,ATTIVO,230.0,,,,,Comune di Lecce
22,B&B DEMETRA,bed_and_breakfast,VICO DEGLI ALBANESI,CENTRO,,5,10,ATTIVO,,,,,,Comune di Lecce
23,B&B DOLCE CASA,bed_and_breakfast,VIA ALFONSO LAMARMORA,MAZZINI,,2,6,ATTIVO,,,,,,Comune di Lecce
24,B&B ELVI,bed_and_breakfast,VIA GUALTIERO PRIMO DI BRIENNE,CENTRO,,2,4,ATTIVO,,,,,,Comune di Lecce
25,B&B ARTAS,bed_and_breakfast,VICO  BOEMONDO,CENTRO,,1,2,ATTIVO,40.0,,,,,Comune di Lecce
26,B&B IDOMENEO 63,bed_and_breakfast,VIA  IDOMENEO,CENTRO,,4,9,ATTIVO,100.0,,,,,Comune di Lecce
27,B&B PALAZZO DE GIORGI,bed_and_breakfast,VIALE ORONZO QUARTA,FERROVIA - CASERMETTE,,5,10,ATTIVO,150.0,,,,,Comune di Lecce
28,B&B ALBATROS,bed_and_breakfast,VIA CATERINA SCORONEO,CONTESTO DELL'ENTROTERRA COSTIERO,,4,10,ATTIVO,,,,,,Comune di Lecce
29,B&B ARCHIMEDE,bed_and_breakfast,VIA COLONNELLO ARCHIMEDE COSTADURA,SANTA ROSA,,1,2,ATTIVO,,,,,,Comune di Lecce
30,B&B ALBABAROCCA,bed_and_breakfast,VIA ANTONIO GALATEO,CENTRO,,2,5,ATTIVO,40.0,,,,,Comune di Lecce
31,B&B LECCE D'ESTATE,bed_and_breakfast,VIA GIUSEPPE SARNO,RUDIAE - SAN PIO,,3,7,ATTIVO,65.0,,,,,Comune di Lecce
32,B&B AGAVE SALENTINA,bed_and_breakfast,VIALE ALBERTO SORDI,SAN SABINO,,2,4,ATTIVO,,,,,,Comune di Lecce
33,B&B LE ANTICHE MURA,bed_and_breakfast,VIA DELLE BOMBARDE,CENTRO,,1,2,ATTIVO,80.0,,,,,Comune di Lecce
34,B&B MICHELANGELO,bed_and_breakfast,VIA DELLA SINAGOGA,CENTRO,,2,5,ATTIVO,100.0,,,,,Comune di Lecce
35,B&B ANTICO BELVEDERE,bed_and_breakfast,VIA ANDREA VIGNES,CENTRO,,6,10,ATTIVO,,,,,,Comune di Lecce
36,B&B IBISCUS,bed_and_breakfast,VIA LUIGI TENCO,FERROVIA - CASERMETTE,,2,5,ATTIVO,,,,,,Comune di Lecce
37,B&B VILLA LORENZA,bed_and_breakfast,VIA  PATRASSO,FRAZIONE SAN CATALDO,,4,9,ATTIVO,,,,,,Comune di Lecce
38,B&B MAMA',bed_and_breakfast,VIA DANIELA E PAOLA BASTIANUTTI,FERROVIA - CASERMETTE,,1,2,ATTIVO,35.0,,,,,Comune di Lecce
39,B&B DUCA,bed_and_breakfast,VIA DUCA DEGLI ABRUZZI,CENTRO,,1,2,ATTIVO,,,,,,Comune di Lecce
40,B&B TRESESSANTA360°,bed_and_breakfast,VIA  GIAMMATTEO,SANTA ROSA,,2,8,ATTIVO,,,,,,Comune di Lecce
41,B&B LA CORTE DEI GIUGNI,bed_and_breakfast,CORTE DEI GIUGNI,CENTRO,,4,8,ATTIVO,,,,,,Comune di Lecce
42,B&B LUNA PIENA,bed_and_breakfast,VIA GAETANO DONIZETTI,LEUCA,,2,5,ATTIVO,,,,,,Comune di Lecce
43,B&B A CASA DI JOY,bed_and_breakfast,VIA MARISA BELLISARIO,FERROVIA - CASERMETTE,,4,10,ATTIVO,75.0,,,,,Comune di Lecce
44,B&B PIAZZETTA SAN RAFFAELE,bed_and_breakfast,VIA FLAVIO GIOIA,FRAZIONE SAN CATALDO,,3,8,ATTIVO,,,,,,Comune di Lecce
45,B&B SAN CATALDO,bed_and_breakfast,VIALE CRISTOFORO COLOMBO,FRAZIONE SAN CATALDO,,3,8,ATTIVO,,,,,,Comune di Lecce
46,B&B ROOF BAROCCO SUITE,bed_and_breakfast,PIAZZETTA ARTE DELLA STAMPA,CENTRO,,1,2,ATTIVO,60.0,,,,,Comune di Lecce
47,B&B GLI ARCHI,bed_and_breakfast,VIALE  TORRE  DEL  PARCO,LEUCA,,2,4,ATTIVO,,,,,,Comune di Lecce
48,B&B HISTORICAL SUITES VVM,bed_and_breakfast,VIA ARCIVESCOVO PETRONELLI,CENTRO,,3,6,ATTIVO,130.0,,,,,Comune di Lecce
49,B&B ARIOSTO,bed_and_breakfast,VIA SERAFINO ELMO,SALESIANI,,1,4,ATTIVO,,,,,,Comune di Lecce
50,B&B MASSERIA SANT'ANGELO,bed_and_breakfast,VIA BRIZIO ELIA,RUDIAE - SAN PIO,,3,9,ATTIVO,40.0,,,,,Comune di Lecce
51,B&B CASA MONTALBANO,bed_and_breakfast,VIA DONATO CAMPOBASSO,BORGO SAN NICOLA,,2,8,ATTIVO,,,,,,Comune di Lecce
52,B&B CITTA' DI LECCE,bed_and_breakfast,STRADA PROVINCIALE  225 DALLA LECCE - ARNESANO ALLA LECCE - NOVOLI (VIA DEL CONDÒ),CONTESTO RUDIAE VILLACONVENTO,,5,10,ATTIVO,,,,,,Comune di Lecce
53,B&B SALENTO,bed_and_breakfast,VIA LUIGI CORVAGLIA,LEUCA,,2,4,ATTIVO,,,,,,Comune di Lecce
54,B&B VENTO DELL'EST,bed_and_breakfast,VIA MARGARITO DA BRINDISI,FRAZIONE SAN CATALDO,,3,8,ATTIVO,100.0,,,,,Comune di Lecce
55,B&B B.B. PALAZZO GORGONI,bed_and_breakfast,VIA  IDOMENEO,CENTRO,,4,10,ATTIVO,200.0,,,,,Comune di Lecce
56,B&B SAMA',bed_and_breakfast,VIA FILIPPO BACILE,MAZZINI,,2,9,ATTIVO,,,,,,Comune di Lecce
57,B&B VILLA ROMINA,bed_and_breakfast,VIA GIOVANNI KEPLERO,FRAZIONE SAN CATALDO,,3,10,ATTIVO,,,,,,Comune di Lecce
58,B&B ROSELLINA,bed_and_breakfast,VICO  SFERRACAVALLI,CENTRO,,1,2,ATTIVO,50.0,,,,,Comune di Lecce
59,B&B ISABELLA,bed_and_breakfast,VIA ISABELLA CASTRIOTA,CENTRO,,5,10,ATTIVO,,,,,,Comune di Lecce
60,B&B ANTICAGALATEO,bed_and_breakfast,VIA ANTONIO GALATEO,CENTRO,,2,8,ATTIVO,45.0,,,,,Comune di Lecce
61,B&B NONNO NICOLA,bed_and_breakfast,VIA CESARE BATTISTI,MAZZINI,,2,3,ATTIVO,,,,,,Comune di Lecce
62,B&B IL CAPRIFOGLIO,bed_and_breakfast,VIALE VITTORIO ALFIERI,LEUCA,,2,4,ATTIVO,,,,,,Comune di Lecce
63,B&B CASA ZAHIRA,bed_and_breakfast,VIA QUATTRO NOVEMBRE,SALESIANI,,1,2,ATTIVO,,,,,,Comune di Lecce
64,B& B A CASA DI NONNA ROSA,bed_and_breakfast,VIA BONAVENTURA MAZZARELLA,MAZZINI,,3,6,ATTIVO,100.0,,,,,Comune di Lecce
65,B&B ELISA,bed_and_breakfast,VIA DON BOSCO,FERROVIA - CASERMETTE,,6,10,ATTIVO,35.0,,,,,Comune di Lecce
66,B&B LE SORELLE,bed_and_breakfast,VIA GUGLIELMO OBERDAN,MAZZINI,,1,4,ATTIVO,90.0,,,,,Comune di Lecce
67,B&B LA CORTE II,bed_and_breakfast,CORTE DEL TELEGRAFO AD ASTA,CENTRO,,2,4,ATTIVO,80.0,,,,,Comune di Lecce
68,B&B LA CORTE,bed_and_breakfast,VIA ROBERTO CARACCIOLO,CENTRO,,4,10,ATTIVO,80.0,,,,,Comune di Lecce
69,B&B DEI DUE PORTONI,bed_and_breakfast,VIA  UMBERTO PRIMO,CENTRO,,1,4,ATTIVO,60.0,,,,,Comune di Lecce
70,B&B LA FONTANELLA,bed_and_breakfast,VIA  EMILIA,LEUCA,,4,10,ATTIVO,,,,,,Comune di Lecce
71,B&B RESIDENZA SAN LEONARDO,bed_and_breakfast,VIA ANTONELLO CONIGER,CENTRO,,3,10,ATTIVO,,,,,,Comune di Lecce
72,B&B CASINE NICOLY,bed_and_breakfast,STRADA PROVINCIALE  4 LECCE - NOVOLI - CAMPI - SQUINZANO,RUDIAE - SAN PIO,,4,9,ATTIVO,,,,,,Comune di Lecce
73,B&B PALAZZO CASTROMEDIANO,bed_and_breakfast,VICO  VERNAZZA,CENTRO,,4,10,ATTIVO,,,,,,Comune di Lecce
